"","state","year","month","day","minTemp","maxTemp","rainFall"
"1","Australian Capital Territory",2019,"April",1,3.05,19.75,0
"193","Australian Capital Territory",2019,"April",2,7.65,22.55,0
"385","Australian Capital Territory",2019,"April",3,7.9,24.8,0
"577","Australian Capital Territory",2019,"April",4,12.8,22,0
"769","Australian Capital Territory",2019,"April",5,13.85,20.75,0
"961","Australian Capital Territory",2019,"April",6,10.2,24.85,0
"1153","Australian Capital Territory",2019,"April",7,6.8,25,0
"1345","Australian Capital Territory",2019,"April",8,6.05,24.5,0
"1537","Australian Capital Territory",2019,"April",9,13.4,21,0
"1729","Australian Capital Territory",2019,"April",10,2.35,18.55,0
"1921","Australian Capital Territory",2019,"April",11,1.35,19.85,0
"2113","Australian Capital Territory",2019,"April",12,9.85,22,0
"2305","Australian Capital Territory",2019,"April",13,4.25,23.1,0
"2497","Australian Capital Territory",2019,"April",14,10.65,21.3,0
"2689","Australian Capital Territory",2019,"April",15,5.5,22.05,0
"2881","Australian Capital Territory",2019,"April",16,6.45,23.65,0
"3073","Australian Capital Territory",2019,"April",17,7.3,24,0
"3265","Australian Capital Territory",2019,"April",18,6.15,26.15,0
"3457","Australian Capital Territory",2019,"April",19,13.55,24.8,0
"3649","Australian Capital Territory",2019,"April",20,8.35,25.9,0
"3841","Australian Capital Territory",2019,"April",21,8.8,24.1,0
"4033","Australian Capital Territory",2019,"April",22,12,25.8,0
"4225","Australian Capital Territory",2019,"April",23,9.85,23.2,9
"4417","Australian Capital Territory",2019,"April",24,10.3,23.8,0
"4609","Australian Capital Territory",2019,"April",25,8.05,24.55,0
"4801","Australian Capital Territory",2019,"April",26,10.15,18.9,0
"4992","Australian Capital Territory",2019,"April",27,0.55,16.75,0
"5183","Australian Capital Territory",2019,"April",28,-0.3,19.45,0
"5375","Australian Capital Territory",2019,"April",29,1.7,21.1,0
"5559","Australian Capital Territory",2019,"April",30,5.1,22.05,0
"2","New South Wales",2019,"April",1,11,21.9,0
"194","New South Wales",2019,"April",2,15.025,23.5,6.805
"386","New South Wales",2019,"April",3,15.2,25.925,1.2
"578","New South Wales",2019,"April",4,16.2,22.825,0
"770","New South Wales",2019,"April",5,17.425,22.9,9.4
"962","New South Wales",2019,"April",6,16.075,27.725,3.5
"1154","New South Wales",2019,"April",7,16.95,28.175,0.15
"1346","New South Wales",2019,"April",8,16.3,32,0
"1538","New South Wales",2019,"April",9,17.9,29.275,0
"1730","New South Wales",2019,"April",10,13,20.7,0
"1922","New South Wales",2019,"April",11,10.975,21.25,0
"2114","New South Wales",2019,"April",12,14.275,22.175,0
"2306","New South Wales",2019,"April",13,14.1333333333333,25.5333333333333,0
"2498","New South Wales",2019,"April",14,16.15,23.575,0
"2690","New South Wales",2019,"April",15,13.7,23.65,0.655
"2882","New South Wales",2019,"April",16,14.9,24.475,0.8
"3074","New South Wales",2019,"April",17,14.55,24.775,0
"3266","New South Wales",2019,"April",18,14.575,26.525,0
"3458","New South Wales",2019,"April",19,17.025,24.7,0
"3650","New South Wales",2019,"April",20,15.55,25.275,0
"3842","New South Wales",2019,"April",21,17.675,25.95,0
"4034","New South Wales",2019,"April",22,17.525,25.6,0
"4226","New South Wales",2019,"April",23,17.225,25.325,2.9
"4418","New South Wales",2019,"April",24,16.725,25.35,2.25
"4610","New South Wales",2019,"April",25,15.8,26.0666666666667,0.133333333333333
"4802","New South Wales",2019,"April",26,16.575,28.9,0
"4993","New South Wales",2019,"April",27,12.675,20.025,0.05
"5184","New South Wales",2019,"April",28,9.375,23.075,0
"5376","New South Wales",2019,"April",29,10.875,22.65,0
"5560","New South Wales",2019,"April",30,14.025,24.675,0
"3","Northern Territory",2019,"April",1,17.2333333333333,30.8333333333333,0
"195","Northern Territory",2019,"April",2,18.3,32,0
"387","Northern Territory",2019,"April",3,18.9333333333333,32.2333333333333,0
"579","Northern Territory",2019,"April",4,19.1666666666667,32.5666666666667,2.86666666666667
"771","Northern Territory",2019,"April",5,20.4,33.3333333333333,16.4666666666667
"963","Northern Territory",2019,"April",6,21.3,33.6,0.133333333333333
"1155","Northern Territory",2019,"April",7,21.0333333333333,32.8333333333333,17.7333333333333
"1347","Northern Territory",2019,"April",8,21.4,32.4333333333333,0.533333333333333
"1539","Northern Territory",2019,"April",9,20.55,33.15,21.5
"1731","Northern Territory",2019,"April",10,22.75,32.65,3.2
"1923","Northern Territory",2019,"April",11,20.8666666666667,32.6333333333333,0
"2115","Northern Territory",2019,"April",12,17.9666666666667,31.7666666666667,0
"2307","Northern Territory",2019,"April",13,16.9,33.2666666666667,0
"2499","Northern Territory",2019,"April",14,20.1666666666667,33.2333333333333,0
"2691","Northern Territory",2019,"April",15,19.4666666666667,33.7333333333333,0
"2883","Northern Territory",2019,"April",16,20.2333333333333,34.2666666666667,0
"3075","Northern Territory",2019,"April",17,20.0666666666667,34,0
"3267","Northern Territory",2019,"April",18,19.4,33.4,0
"3459","Northern Territory",2019,"April",19,17.5,32.85,0
"3651","Northern Territory",2019,"April",20,19.9666666666667,33.1333333333333,0
"3843","Northern Territory",2019,"April",21,21.3666666666667,31.3666666666667,0
"4035","Northern Territory",2019,"April",22,19.5333333333333,30.5,0
"4227","Northern Territory",2019,"April",23,17.4666666666667,31.2666666666667,0
"4419","Northern Territory",2019,"April",24,17.55,30.9,0
"4611","Northern Territory",2019,"April",25,17.7666666666667,29.9333333333333,0
"4803","Northern Territory",2019,"April",26,20.6,30.1333333333333,0
"4994","Northern Territory",2019,"April",27,20.0666666666667,29.4,0
"5185","Northern Territory",2019,"April",28,19.9,30.6666666666667,0
"5377","Northern Territory",2019,"April",29,19.6,29.0666666666667,0
"5561","Northern Territory",2019,"April",30,19.4666666666667,31.1666666666667,0.2
"4","Queensland",2019,"April",1,20.375,28.8,7.2
"196","Queensland",2019,"April",2,20.1666666666667,27.5,0
"388","Queensland",2019,"April",3,20.3666666666667,27.8666666666667,5.86666666666667
"580","Queensland",2019,"April",4,21.2,28.6,31.65
"772","Queensland",2019,"April",5,20.75,28.775,4.8
"964","Queensland",2019,"April",6,20.725,28.25,0.1
"1156","Queensland",2019,"April",7,20.375,28.825,0.95
"1348","Queensland",2019,"April",8,20.05,29.25,2.9575
"1540","Queensland",2019,"April",9,20.725,29.35,0.1
"1732","Queensland",2019,"April",10,20.6,28.55,0.405
"1924","Queensland",2019,"April",11,20.45,28.6,0
"2116","Queensland",2019,"April",12,19.425,27.475,0
"2308","Queensland",2019,"April",13,19.275,28.225,2.45
"2500","Queensland",2019,"April",14,19.125,27.775,1.3
"2692","Queensland",2019,"April",15,19.25,27.8,4.5075
"2884","Queensland",2019,"April",16,19.2,28.05,0
"3076","Queensland",2019,"April",17,19.275,28.55,0.305
"3268","Queensland",2019,"April",18,19.175,28.675,0.05
"3460","Queensland",2019,"April",19,20.3,27.625,2.55
