State,State_Code,Station,Year,Month,Date,Day,MinTemp,MaxTemp,Rain
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,1,Tu,13.7,35.3,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,2,We,18,35.9,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,3,Th,18.4,35.3,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,4,Fr,17.2,38.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,5,Sa,21.1,36.7,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,6,Su,13.4,25,7
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,7,Mo,14.8,24.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,8,Tu,16.8,30.7,11.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,9,We,13.7,30.7,9.4
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,10,Th,16.4,27.5,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,11,Fr,17.6,29.4,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,12,Sa,13.7,34.2,2.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,13,Su,16,29.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,14,Mo,16,36.4,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,15,Tu,18.7,40.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,16,We,20.1,41.6,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,17,Th,17.1,41.4,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,18,Fr,20.5,40.1,11.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,19,Sa,21.4,36,1
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,20,Su,17.1,35.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,21,Mo,16.9,34.3,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,22,Tu,16.9,38.4,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,23,We,19.7,35.4,2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,24,Th,14.9,32,4.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,25,Fr,15.9,39.4,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,26,Sa,20.5,41.5,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,27,Su,21.2,31.2,7.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,28,Mo,20,26.1,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,29,Tu,19.1,35.7,3.2
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,30,We,19,37.1,2.6
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,January,31,Th,22.2,35.2,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,February,1,Fr,14.7,20.7,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,February,2,Sa,15.1,29.5,0
Australian Capital Territory,ACT,Canberra Airport {station 070351},2019,February,3,Su,15.9,35.8,0
